SiteCode,pExc,durExc,first.week,daysSuitable,cum.exp,IWV,AWV,MWV,VAR,RNG,IWI,AWA,MWA,AWM,MWM,AWI,Species,LifeHistory,Life.stage,Start,End,Thresh.hi,Thresh.lo,year
VAL,0.0205479452054795,6,2001-06-30,140,2517.29208333333,0.00160013409391534,1.16454488002738,9.17026367675264,37.2435963287095,18.6739583333333,0.209375,8.72607076257076,18.1515892857143,9.84821095571096,18.8833333333333,7.47049621212121,Chinook,win_outmigrants,rearing,2001-04-15,2002-01-31,18,9,2001
MAR,0,0,1900-01-01,90,1748.57465387894,0.00571648478835979,0.691093476188211,4.76718781125992,21.7016266734021,16.0078333333333,0.0479166666666667,6.07326812461835,15.2854523809524,7.09184019294857,16.05575,5.09124851741396,Chinook,win_outmigrants,rearing,2002-04-15,2003-01-31,18,9,2002
STH,0,0,1900-01-01,131,2319.19,0.0365874308035715,0.837309697188518,4.27865824446098,26.4755547050816,17.3774166666667,0.0433333333333333,8.03417850899101,16.6795119047619,9.17844041375291,17.42075,6.9243597027972,Chinook,win_outmigrants,rearing,2002-04-15,2003-01-31,18,9,2002
SEC,0,0,1900-01-01,91,1634.94820833333,0,0.5973919372225,3.65670982142857,29.4327100548866,17.8712083333333,0.033375,5.69968912337662,16.4585714285714,6.47705812937063,17.9045833333333,4.88493866550117,Chinook,win_outmigrants,rearing,2002-04-15,2003-01-31,18,9,2002
SFS,0.00342465753424658,1,2002-07-08,92,1783.75033333333,0.000369502314814815,0.686639194099926,3.58352234011243,29.2481570973321,18.1592083333333,0.03,6.75006871265617,17.0407797619048,7.72192062737643,18.1892083333333,5.74449081115336,Chinook,win_outmigrants,rearing,2002-04-15,2003-01-31,18,9,2002
MAR,0,0,1900-01-01,37,1190.72720181159,9.92063492063492e-08,0.806600365331046,10.9487967538426,17.0878388880631,15.6866,0,4.82753671214744,13.226925,5.85577558060109,15.6866,3.88475227488715,Chinook,win_outmigrants,rearing,2003-04-15,2004-01-31,18,9,2003
STH,0,0,1900-01-01,143,2356.45201325758,0.035765976521164,0.827286402777341,4.89948082333003,28.21112991675,17.4629090909091,0.04,8.16034686620198,16.1193333333333,9.2629291560712,17.5029090909091,7.02742650058275,Chinook,win_outmigrants,rearing,2003-04-15,2004-01-31,18,9,2003
VAL,0.00342465753424658,1,2003-07-19,133,2274.50086991028,0.000882109788359787,0.856300399867515,6.99517372073413,34.8613109812683,18.194125,0.220416666666667,7.9031369910283,17.5657083333333,8.90183231351981,18.4145416666667,6.86641990165632,Chinook,win_outmigrants,rearing,2003-04-15,2004-01-31,18,9,2003
SEC,0,0,1900-01-01,83,1774.72833333333,0,0.639475700770006,5.2798722635582,33.0959385051906,17.3540416666667,0.0445833333333333,6.18345596070596,16.8576130952381,6.94079356060606,17.398625,5.43040238927739,Chinook,win_outmigrants,rearing,2003-04-15,2004-01-31,18,9,2003
SFS,0,0,1900-01-01,89,1838.82921666667,0,0.696482915722715,7.8094149171627,30.8086732872712,17.3622166666667,0.00958333333333333,6.39225333832834,16.3464880952381,7.25807887529138,17.3718,5.53794434731935,Chinook,win_outmigrants,rearing,2003-04-15,2004-01-31,18,9,2003
MAR,0,0,1900-01-01,86,1757.27013768116,0,0.647016246444915,4.35404280753968,20.372649817181,14.4766666666667,0.000416666666666667,6.51718823583944,13.7510714285714,7.42650497512438,14.4770833333333,5.54142526497945,Chinook,win_outmigrants,rearing,2004-04-15,2005-01-31,18,9,2004
STH,0,0,1900-01-01,151,2394.61208333333,0.000958821097883598,0.720370327039858,3.94219564318783,26.3608846122902,16.3658333333333,0.0158333333333333,8.28457584082584,15.9297619047619,9.28614801864802,16.3816666666667,7.19467074592075,Chinook,win_outmigrants,rearing,2004-04-15,2005-01-31,18,9,2004
VAL,0,0,1900-01-01,139,2306.79333333333,0.00103740906084656,0.749755405300718,5.5875472635582,31.6886376044789,17.5845833333333,0.351666666666667,7.99884011821512,17.0995238095238,8.93380099067599,17.93625,6.97320804195804,Chinook,win_outmigrants,rearing,2004-04-15,2005-01-31,18,9,2004
SFS,0,0,1900-01-01,88,1840.405,3.96825396825395e-07,0.632396227684393,6.60021053240741,29.0384517522604,17.3720833333333,-0.0783333333333333,6.43873931086519,16.0802380952381,7.3174941314554,17.29375,5.54900088028169,Chinook,win_outmigrants,rearing,2004-04-15,2005-01-31,18,9,2004
MAR,0,0,1900-01-01,84,1734.00708333333,0,0.640200060500842,3.52248001818783,22.0629412521899,15.5620833333333,-0.03375,6.01775432900433,14.3057142857143,6.94519085081585,15.5283333333333,5.05340763403263,Chinook,win_outmigrants,rearing,2005-04-15,2006-01-31,18,9,2005
